                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84345,                 2.5779,                 1.1812,                0.01098,                0.75325,                0.36348,                 0.2632,                0.66644,                 3.0807,                 1.0479,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.96719,                 2.4007,                 1.2468,                0.01079,                0.74406,                0.37942,                0.27844,                0.69045,                 3.0043,                 1.0518,             0.00011091,             0.00011091,             0.00011091
                      3,                0.98704,                 1.8809,                 1.2756,                0.01153,                0.89729,                0.40858,                0.30061,                0.69985,                 2.8221,                 1.0687,             0.00016522,             0.00016522,             0.00016522
                      4,                0.92529,                 1.5474,                  1.238,                0.89015,                 0.6539,                 0.8024,                0.62133,                0.73265,                 2.6492,                 1.1095,             0.00021292,             0.00021292,             0.00021292
                      5,                0.97779,                 1.3806,                 1.2219,                      1,                0.07364,                0.81035,                0.62779,                0.75215,                 2.5991,                 1.1262,             0.00025402,             0.00025402,             0.00025402
                      6,                0.93074,                 1.3263,                 1.2193,                0.95684,                0.14703,                0.80539,                0.62042,                0.77434,                 2.5547,                  1.129,             0.00028852,             0.00028852,             0.00028852
                      7,                0.89554,                 1.3195,                  1.177,                0.97821,                0.22864,                0.82399,                0.62601,                0.82705,                 2.5381,                 1.1664,             0.00031641,             0.00031641,             0.00031641
                      8,                0.88058,                 1.2832,                 1.2217,                0.95508,                0.32639,                0.81482,                0.62139,                0.87981,                 2.4347,                 1.2387,             0.00033771,             0.00033771,             0.00033771
                      9,                0.92302,                 1.2595,                 1.2275,                0.93935,                0.38889,                0.83672,                0.62592,                0.90924,                  2.274,                 1.2876,              0.0003524,              0.0003524,              0.0003524
                     10,                0.92382,                 1.2095,                 1.2167,                 0.9325,                0.40625,                0.86442,                0.67642,                0.80065,                 2.0105,                 1.1836,              0.0003605,              0.0003605,              0.0003605
                     11,                0.83075,                 1.3031,                 1.1757,                0.93799,                 0.3984,                 0.8784,                0.65159,                0.87287,                 2.1284,                 1.2279,             0.00036199,             0.00036199,             0.00036199
                     12,                0.78304,                 1.1785,                 1.1073,                 0.9432,                0.45825,                0.89582,                0.66807,                0.85128,                 2.1281,                 1.2207,             0.00035688,             0.00035688,             0.00035688
                     13,                0.76897,                  1.164,                 1.1375,                0.89872,                0.48813,                0.89158,                 0.6926,                0.81024,                 2.0185,                 1.1661,             0.00034517,             0.00034517,             0.00034517
                     14,                0.75408,                 1.1178,                 1.0757,                0.90539,                 0.5069,                0.90376,                0.71432,                 0.7748,                 1.9567,                 1.1364,             0.00032686,             0.00032686,             0.00032686
                     15,                0.74934,                 1.1361,                 1.1307,                0.89601,                0.62277,                0.93749,                0.77112,                0.71327,                 1.8047,                 1.0829,             0.00030194,             0.00030194,             0.00030194
                     16,                0.68272,                 1.0563,                   1.04,                0.86816,                0.70747,                0.94049,                0.78788,                0.69875,                 1.7154,                 1.0685,             0.00027043,             0.00027043,             0.00027043
                     17,                0.68529,                 1.0913,                 1.0594,                0.85589,                0.75991,                0.93956,                0.78976,                 0.6771,                 1.6018,                 1.0563,             0.00023231,             0.00023231,             0.00023231
                     18,                0.72928,                  1.085,                 1.0986,                0.86813,                0.85386,                  0.952,                0.80878,                0.64923,                 1.4102,                 1.0395,              0.0001876,              0.0001876,              0.0001876
                     19,                0.64738,                 1.0071,                 1.0254,                0.89206,                0.88257,                0.95979,                0.81521,                0.63838,                 1.3594,                 1.0335,             0.00013628,             0.00013628,             0.00013628
                     20,                0.68664,                 1.0686,                  1.106,                0.89777,                0.89012,                0.96544,                 0.8179,                0.63724,                 1.3216,                 1.0314,             7.8357e-05,             7.8357e-05,             7.8357e-05
